,EMI,ROI,EligibleLoanAmount
1005,846.36882,0.120028159,21000
1006,163.75,0.061473487,10800
1009,937.5,0.238095238,24600
1018,2204.1,0.196722628,15000
1020,584.9987,0.115044248,30300
1022,520.00208,0.094202899,12300
1023,400,0.074074074,30000
1024,63.768421,0.186131684,7319.999999
1025,308.48554,0.211605172,12900
1028,839.647601,0.193483345,10224.3
1032,882.5,0.150021249,6000.000001
1034,1950,0.090909091,14976
1038,411.284416,0.21253642,42000
1040,67,0.062792877,13500
1041,1099.597251,0.215624755,21000
1043,261.587394,0.161495891,14100
1044,621.75,0.076553698,22440
1045,22.003902,0.24110192,21859.2
1048,1655.00331,0.248685199,18000
1049,79.3478,0.122807018,32311.5
1051,528.699276,0.13111478,21008.4
1052,450,0.082568807,21300
1054,2063.2,0.205024247,11094
1055,1039.28966,0.101446671,36000
1056,177.5,0.066293184,9000
1058,225.070846,0.119563303,49500
1062,114.9444,0.224806202,10500
1063,359.004976,0.168330007,9484.800001
1064,121.6,0.057315234,22500
1065,1498.271747,0.110874011,21023.4
1067,749.092509,0.199807954,15000
1069,1570.9023,0.099099099,23072.4
1070,899.5,0.152470548,12060
1073,2235,0.129677981,31190.7
1076,354.81774,0.144933732,43500
1081,354,0.105545617,39000
1082,404.857818,0.24110192,16500
1083,3702,0.197946744,15000
1084,3960.0033,0.248120301,10800
1086,674.75,0.21253642,6000.000001
1090,26.2015,0.224806202,12000
1091,399.883295,0.118554429,9000
1095,784.7424,0.152542373,18000
1096,196.40448,0.097472924,48000
1100,1270.8,0.24110192,15600
1101,16.05567,0.224505622,12000
1102,411.789766,0.163249937,18390
1103,436.43441,0.129677981,22176.9
1105,435,0.224806202,6900.000001
1112,2877.597602,0.193418293,22500
1114,1147.733556,0.21253642,7499.999999
1115,375.0015,0.130434783,13891.8
1117,1649.25,0.180260677,18000
1119,368.4406,0.180327869,19380
1126,510,0.166666667,15300
1127,501.486273,0.24110192,17100
1131,1125,0.130434783,15374.4
1132,424.8,0.175189706,30000
1134,233.022447,0.137410506,16500
1136,129.998,0.215686275,49500
1137,1270.8,0.24110192,135000
1138,99.497015,0.09049568,11400
1139,441.998232,0.150237933,9000
1141,1326,0.150237933,36000
1144,512,0.242424242,7499.999999
1145,596,0.129677981,32400
1148,300,0.090909091,9600.000001
1149,1305,0.115435648,12600
1159,162.046062,0.24110192,10500
1160,274.0883,0.159663866,8664.000001
1162,29.2774,0.136442142,19800
1163,1833.58,0.157610985,15000
1164,537.325272,0.175189706,24000
1165,1192,0.129677981,7200
1166,54.86454,0.222515938,26183.4
1169,2911.75,0.23459625,25800
1171,0,0.195688892,125327.7
1173,2562.5,0.092970522,22860
1175,284.46418,0.125109361,5490
1179,509.24321,0.253452781,13800
1184,127.695915,0.211667324,1950.000001
1192,119.3997,0.173553719,13800
1193,306.6816,0.107142857,24000
1194,599.4,0.090826439,32880
1200,144.565212,0.190021059,9600.000001
1202,675,0.212598425,12600
1203,2311.49799,0.091322126,22500
1207,1050,0.207920792,19422
1208,1269.1,0.114652501,22650
1209,265.135671,0.085003202,40377
1210,61.8825,0.2,7499.999999
1211,973.0776,0.180327869,9600.000001
1212,1082.24889,0.099909991,18000
1213,1073.019647,0.111032092,13842.9
1217,1348.5,0.082484632,45000
1218,188.8799,0.134199134,6450.000001
1221,2.147649,0.248063764,10500
1224,1187.6,0.228930527,13330.5
1228,1312.5,0.095022624,19500
1231,383.662398,0.236582945,7601.699999
1233,645.6672,0.193548387,11400
1234,545.35,0.077405665,15000
1236,497.5,0.165971643,10035
1239,22.4605,0.224806202,9600.000001
1243,1072.5,0.076212471,20937.6
1247,105.917412,0.22112314,24600
1248,15.9495,0.207920792,6300
1249,540.09,0.082568807,15300
1250,3240,0.212598425,13500
1253,110.4,0.084249084,15000
1256,62.499375,0.058823529,24000
1258,805.7,0.103219442,24600
1259,88.325685,0.155761925,12000
1260,3127.5,0.172527927,27000
1266,224,0.074074074,12000
1268,779.7,0.206286213,22500
1271,939.398658,0.118321284,15600
1272,375,0.2,45000
1277,436.2932,0.227799228,27000
1278,167.4842,0.156118143,16800
1281,656.830734,0.190021059,7499.999999
1282,375.551295,0.114652501,10800
1284,2698.5,0.152470548,13489.2
1285,386.39908,0.084249084,6340.799999
1286,742.5,0.129299086,15000
1289,1935.15,0.253452781,15464.7
1290,1250.796873,0.23821132,32442
1291,3298.5,0.180260677,16500
1293,2347.73,0.233657752,22500
1295,598.4,0.149659864,25500
1301,1355.38382,0.21253642,21832.5
1303,620,0.236641221,15600
1304,1799,0.152470548,112500
1306,1270.8,0.24110192,14526.6
1309,551.99908,0.084249084,28500
1312,92.343795,0.131567521,3861.600001
1313,1270.00127,0.112688554,15600
1316,157.066,0.166666667,7470
1319,47.437826,0.193483345,23400
1323,391.201304,0.115357396,9446.4
1324,230,0.18699187,15000
1326,489.63924,0.24110192,9900
1328,731.5,0.094612947,15644.4
1329,705.92781,0.114652501,12000
1332,361,0.126179657,13050
1342,35.089125,0.170055606,12021.6
1343,731.498955,0.094612947,13500
1349,220.3005,0.259259259,12877.2
1350,718.801198,0.10698339,5400
1351,735,0.173553719,5699.999999
1353,524.9979,0.095022624,13470
1356,186.177432,0.113789436,173.9999988
1358,1248.65,0.128084401,18600
1360,494.85,0.248063764,18300
1361,169.567728,0.134274089,45000
1362,582.001564,0.21253642,7499.999999
1364,1056.3,0.13111478,15600
1372,482.9195,0.259259259,12900
1373,282.625875,0.136069114,18600
1377,635.4,0.24110192,15000
1384,75.2815,0.259259259,6900.000001
1385,1138.498735,0.112294718,9900
1391,1075.249065,0.085505258,26700
1393,354.195125,0.09049568,10301.7
1395,675.225,0.183673469,10470
1401,246,0.075785582,18000
1404,304.5,0.168744805,14400
1406,559.3644,0.122807018,7859.999999
1407,825,0.076212471,22500
1410,1260.35,0.162408912,13500
1412,92.261901,0.206286213,32550
1413,671.294246,0.160933042,10200
1415,110,0.052132701,22500
1417,37.50635,0.201596806,10800
1418,474.2958,0.172527927,15900
1419,44.969281,0.21929893,23400
1420,837,0.085086917,13968
1423,688.0475,0.259259259,10500
1424,875,0.259259259,31500
1428,150,0.130434783,6000.000001
1431,230.0845,0.156118143,7200
1434,703.8,0.190021059,24000
1435,262.5,0.08045977,18000
1438,158.8,0.137038315,12600
1441,2099.9706,0.122807018,29757
1443,3975,0.209486166,9000
1446,1239.6,0.236582945,16200
1448,1539.3,0.180260677,8399.999999
1450,1299.5,0.206286213,42000
1452,1400,0.259259259,26100
1455,2856.4926,0.115044248,50000.4
1459,16.968042,0.187124045,15600
1464,1821.232,0.123882951,34669.8
1468,186.05275,0.191919192,9000
1471,380,0.166666667,10500
1482,2111.397654,0.190021059,16500
1484,50.76967255,0.00990099,16473.6
1485,408.0021,0.141630901,54000
1489,565.6,0.123882951,13500
1490,1485,0.129299086,90600
1496,23.408,0.259259259,7344
1497,68.2414,0.145299145,11100
1502,1271.905596,0.24110192,2700
1503,4247.5,0.145226088,23400
1504,1033.7085,0.248120301,32400
1508,475.5,0.159805075,16500
1509,1059,0.174781317,10500
1510,344.562416,0.197946744,17550
1513,419.979,0.065420561,8640
1515,0,0.212598425,5550.000001
1518,1579.5835,0.176954733,14700
1522,107.452324,0.238617329,9000
1523,381.25,0.233716475,10080
1525,185.8,0.085003202,13800
1530,118.7406,0.180327869,9000
1531,510,0.078341014,33000
1533,57.539706,0.174781317,15000
1534,3226.5,0.177022467,31860
1535,417.90199,0.165971643,9450
1539,2530,0.099099099,21734.7
1541,226.222125,0.180260677,29873.1
1543,708,0.107142857,18900
1544,38.86207,0.188969992,1500.000001
1545,33.81728,0.08875524,14400
1547,1749.9895,0.259259259,20100
1548,663,0.206349206,30000
1549,1136.25,0.131567521,24000
1550,449.6275,0.2,8399.999999
1558,17.26634,0.153976311,11595
1560,807.8,0.103460642,17100
1563,562.5,0.069767442,14400
1569,1270.8,0.24110192,18000
1570,33.7722,0.099099099,13050
1571,254.15,0.099504728,15000
1574,1187.6,0.228930527,10800
1576,1774,0.15067097,17554.8
1580,131.19918,0.075785582,7800.000001
1584,119.201192,0.106504646,11100
1585,514.600938,0.177022467,29400
