,LoanStatus
2595,0
2596,0
2599,0
2600,0
2601,1
2602,1
2607,1
2612,1
2614,1
2615,1
2618,0
2620,1
2622,0
2623,0
2624,0
2627,0
2631,0
2632,1
2633,1
2636,1
2637,1
2638,0
2639,1
2640,0
2641,1
2643,1
2645,0
2647,1
2649,1
2650,0
2653,1
2658,1
2659,1
2661,1
2662,1
2665,1
2666,1
2667,1
2668,1
2673,1
2675,1
2676,1
2677,1
2679,1
2680,1
2682,1
2685,1
2688,1
2690,1
2692,1
2695,1
2696,0
2703,1
2705,1
2706,0
2708,0
2710,0
2712,1
2715,1
2719,0
2721,1
2725,1
2726,1
2728,1
2730,1
2732,1
2733,0
2734,1
2738,1
2739,1
2740,0
2741,1
2744,1
2745,1
2748,1
2749,1
2753,1
2754,0
2755,0
2759,1
2760,1
2763,1
2764,1
2765,0
2766,0
2769,1
2777,0
2778,1
2779,1
2781,1
2783,1
2785,0
2788,1
2789,1
2790,1
2791,0
2792,1
2795,1
2797,0
2798,1
2799,1
2801,1
2806,1
2808,1
2810,1
2812,1
2814,1
2815,1
2816,1
2819,0
2820,1
2821,1
2822,1
2824,1
2825,0
2826,1
2828,1
2829,1
2834,1
2837,1
2838,1
2840,1
2841,0
2843,1
2846,0
2849,1
2850,1
2854,1
2856,0
2859,0
2860,0
2862,1
2864,1
2865,1
2867,1
2868,0
2869,0
2870,1
2871,0
2872,1
2874,1
2875,1
2878,0
2879,1
2880,1
2881,1
2883,1
2884,1
2885,1
2886,0
2890,0
2891,1
2892,0
2893,1
2895,0
2900,0
2901,0
2902,0
2903,0
2906,1
2908,1
2912,1
2915,1
2921,0
2924,0
2927,1
2929,1
2932,1
2934,1
2935,0
2936,0
2937,1
2940,1
2941,1
2943,0
2944,0
2945,1
2946,1
2947,1
2951,0
2953,1
2957,1
2959,1
2960,0
2961,0
2964,0
2966,0
2967,0
2968,1
2971,1
2973,1
2974,1
2979,1
2980,1
2982,1
2985,1
2986,1
2987,0
2990,1
2992,1
2993,1
2996,1
2997,1
2998,1
2999,1
3000,1
3001,1
3002,1
3004,1
3005,0
3008,0
3011,1
3014,1
3015,1
3016,1
3019,0
3020,0
3021,1
3023,1
3026,1
3028,1
3030,1
3032,1
3036,0
3037,1
3038,1
3039,1
3045,0
3046,1
3051,1
3055,0
3056,0
3057,1
3058,0
3059,1
3060,1
3066,0
3068,1
3070,0
3071,1
3073,1
3080,1
3083,1
3084,1
3086,1
3087,0
3092,1
3093,1
3094,1
3095,1
3096,0
3098,1
3099,1
3101,1
3102,0
3103,1
3105,1
3107,1
3108,0
3111,1
3112,0
3113,1
3115,1
3116,0
3117,1
3119,1
3120,0
3123,0
3125,0
3128,1
3129,1
3134,1
3138,1
3139,1
3140,1
3142,1
3143,1
3144,0
3145,1
3146,1
3147,1
3149,1
3151,1
3155,1
3157,1
3158,1
3160,1
3163,1
3166,0
3171,1
3173,0
3174,1
3175,1
3181,0
3183,1
3186,1
3188,1
3190,1
3191,1
3192,1
3193,1
3195,1
3196,0
3198,1
3200,1
3201,1
3203,1
3206,0
3207,1
3208,1
3209,1
3210,0
3212,1
3214,1
3215,1
3216,1
3217,1
3219,1
3220,1
3229,1
3231,0
3233,1
3234,1
3235,1
3236,1
3238,1
3240,1
3242,1
3243,1
3248,1
3249,0
3250,1
3251,0
3256,1
3257,1
3262,1
3265,1
3266,1
3267,1
3268,1
3269,1
3270,0
3273,1
3274,1
3276,1
3277,1
3280,0
3284,0
3289,1
3291,1
3293,0
3295,1
3296,1
3298,1
3299,1
3300,0
3302,0
3306,0
3311,1
3313,1
3315,1
3317,1
3318,0
3319,1
3321,1
3322,1
3324,1
3329,0
3333,1
3334,1
3335,1
3336,1
3337,1
3338,0
3339,0
3347,1
3348,1
3352,1
3353,0
3354,1
3357,0
3359,1
3361,1
3362,0
3363,0
3364,1
3365,0
3366,1
3368,1
3369,0
3370,1
3373,1
3375,1
3379,1
3382,1
3384,0
3385,1
3391,1
3392,0
3393,1
3394,0
3395,1
3397,1
3398,1
3400,1
3401,1
3402,1
3403,1
3404,0
3407,1
3408,0
3409,1
3410,0
3412,1
3413,1
3416,0
3417,1
3418,1
3420,1
3421,0
3423,1
3425,0
3426,1
3427,1
3428,1
3430,1
3431,1
3434,1
3435,0
3436,1
3438,1
3441,1
3443,1
3445,1
3446,0
3447,1
3449,1
3450,1
3452,0
3453,1
3455,1
3456,1
3458,1
3459,1
3460,0
3461,0
3462,0
3463,1
3464,1
3465,1
3467,1
3471,1
3472,1
3473,1
3475,1
3477,1
3484,1
3487,1
3488,1
3489,1
3492,1
3494,0
3495,1
3498,0
3500,1
3502,1
3503,1
3504,1
3505,1
3506,1
3508,1
3509,1
3512,1
