BorrowerAPR,CreditScoreRangeLower,CreditScoreRangeUpper,LP_CustomerPrincipalPayments,EstimatedReturn,LenderYield,LP_CustomerPayments,EstimatedLoss,BorrowerRate
0.386487662,0.795454545,0.795454545,0.171428286,0.621998285,0.35800995,0.189379171,0.151204652,0.36160804
0.460416008,0.727272727,0.727272727,0.214285714,0.602701544,0.401791045,0.199200877,0.207698698,0.405829146
0.304551566,0.886363636,0.886363636,0.065464857,0.585763293,0.276616915,0.083903494,0.091664359,0.279396985
0.55405726,0.727272727,0.727272727,0.100000286,0.707332762,0.524378109,0.12592489,0.26336195,0.529648241
0.228388959,0.727272727,0.727272727,0.085714286,0.622761437,0.207960199,0.083297422,0.247189299,0.210050251
0.341090636,0.727272727,0.727272727,0.057142857,0.622761437,0.338308458,0.063147435,0.247189299,0.341708543
0.234459032,0.75,0.75,0.028570857,0.622761437,0.206965174,0.028406763,0.247189299,0.209045226
0.695685701,0.75,0.75,0.114285714,0.731989708,0.657512438,0.135563571,0.393519801,0.664120603
0.181251977,0.886363636,0.886363636,0.06,0.622761437,0.189054726,0.052805887,0.247189299,0.180904523
0.326577823,0.704545455,0.704545455,0.048091714,0.622761437,0.298507463,0.059672901,0.247189299,0.301507538
0.691830117,0.863636364,0.863636364,0.057142857,0.710548885,0.636616915,0.049440923,0.393519801,0.643015075
0.555065644,0.727272727,0.727272727,0.071428571,0.708404803,0.525373134,0.063899681,0.26336195,0.530653266
0.327012812,0.886363636,0.886363636,0.285714286,0.558533448,0.270447761,0.269418498,0.103849349,0.273165829
0.713559791,0.75,0.75,0.142857429,0.772512864,0.682587065,0.161702542,0.374134589,0.689447236
0.727617842,0.590909091,0.590909091,0.083176286,0.622761437,0.696517413,0.119676232,0.247189299,0.703517588
0.338124802,0.772727273,0.772727273,0.05614,0.572469983,0.281393035,0.067363897,0.110772639,0.284221106
0.569440051,0.681818182,0.681818182,0.041577714,0.622761437,0.555621891,0.080328972,0.247189299,0.56120603
0.69487504,0.818181818,0.818181818,0.057130286,0.658876501,0.632238806,0.055353256,0.443367488,0.638592965
0.336285985,0.75,0.75,0.663907143,0.622761437,0.337114428,0.743936209,0.247189299,0.340502513
0.21043578,0.863636364,0.863636364,0.145714286,0.522084048,0.183084577,0.136941052,0.044585987,0.184924623
0.69487504,0.772727273,0.772727273,0.057142857,0.632718696,0.632238806,0.060756067,0.450290778,0.638592965
0.424746916,0.727272727,0.727272727,0.100000286,0.622761437,0.3960199,0.114960074,0.247189299,0.4
0.380358273,0.704545455,0.704545455,0.074285714,0.622761437,0.353631841,0.081346789,0.247189299,0.35718593
0.299489877,0.886363636,0.886363636,0.2,0.495926244,0.200995025,0.181621598,0.099972307,0.203015075
0.467593325,0.772727273,0.772727273,0.030517429,0.693610635,0.434029851,0.072683179,0.159235669,0.43839196
0.684455078,0.590909091,0.590909091,0.028574286,0.622761437,0.653731343,0.039641573,0.247189299,0.660301508
0.129033534,0.840909091,0.840909091,0.038571429,0.504073756,0.136119403,0.034062615,0.003046248,0.137487437
0.52329168,0.909090909,0.909090909,0.428544286,0.679245283,0.470646766,0.37658759,0.227360842,0.475376884
0.47510677,0.75,0.75,0.057879143,0.695969125,0.441393035,0.153904678,0.166158959,0.445829146
0.256485289,0.727272727,0.727272727,0.171419429,0.622761437,0.228855721,0.172680624,0.247189299,0.231155779
